PlayerScore0,PlayerScore1,PlayerScore10,PlayerScore11,PlayerScore2,PlayerScore3,PlayerScore4,PlayerScore5,PlayerScore6,PlayerScore7,PlayerScore8,PlayerScore9,allInPings,assistMePings,assists,baronKills,basicPings,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerAugment5,playerAugment6,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,retreatPings,riotIdGameName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchId,missions.playerScore0,missions.playerScore1,missions.playerScore2,missions.playerScore3,missions.playerScore4,missions.playerScore5,missions.playerScore6,missions.playerScore7,missions.playerScore8,missions.playerScore9,missions.playerScore10,missions.playerScore11,bountyLevel
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,15707,16,893,Aurora,0,2,2,7171,7171,7171,13406,0,5,0,0,0,True,3,2,False,False,False,True,False,False,0,12247,11450,0,TOP,0,0,0,3137,6653,3175,4645,1056,0,3364,18,2,7,TOP,0,2,1,340,115475,22144,8381,0,4,0,0,1,0,0,2,1,0,17868,2289,14667,0,0,0,0,0,0,0,0,5449,0,kPAXQdVi-G8cDuHZ2jondrE4hXSxLyfRcnFiUT6Rtvydc8euEVqn7BzDEwoUUW-nXJhwCuV5nGiIeA,0,0,mad head rules,0000,SOLO,0,231,35,163,13,0,4,4,4,12,6_O70DJueO5SKUm0tgyPlFOf0HnuwC1VGIuQ9gF_bmuyiqm1p1DsZGEwuw,170,,False,100,TOP,8,1599,0,136821,24433,0,24288,4,5712,484,199,197,155,4,0,3477,0,1239,2,4,3,0,0,12,0,1,4,True,EUW1_7489190948,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,15016,16,76,Nidalee,0,9,0,4585,44272,4585,17261,0,6,0,2,2,True,1,0,False,False,False,False,False,False,0,13055,11750,0,JUNGLE,0,1,0,3175,3157,4645,3100,1082,0,3364,18,2,11,JUNGLE,0,6,2,705,178952,17993,10596,0,170,0,0,1,0,0,22,2,0,18301,1045,21492,0,0,0,0,0,0,0,0,4459,0,9VUADHLzoeDMdSXhu5Ohupm8m7QWzHiyI2PY-aG6QL46LgcOwIGVoUar09MUGFm86oDbBz1wXcb4Jg,0,4,kr6249wx77zz,777,NONE,0,228,238,163,248,0,4,4,14,11,GVlDLmOcDeBibCKlXUgAV_R4_CAwVVohieJU3KrkggpjTe0ktKrgm7qVSg,57,,False,100,JUNGLE,9,1599,121,262523,21118,0,32381,12,23457,6016,16,125,164,5,0,65269,2080,292,3,5,3,0,0,20,0,7,1,True,EUW1_7489190948,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15401,16,246,Qiyana,0,0,1,8691,12668,8691,8602,0,4,0,0,0,True,16,4,False,False,False,False,False,False,0,13448,11400,0,MIDDLE,1,1,0,6694,6697,6695,3134,3158,1036,3364,25,3,10,MIDDLE,0,4,1,604,16577,1953,6785,0,8,1,0,1,0,0,18,3,0,125668,16022,9991,0,0,0,0,0,0,0,0,1636,0,hdnufdsKq1f2-LH2xsi7JbLYncAUnPHT2lH1ANsvBERhsUiQ7jYXcSmNhHNsmz_x3a5o6pVMkFstoA,0,2,zagssu,EUW,SOLO,0,120,179,44,7,0,6,14,4,4,uV9iRkeZyZDeXmHAd-UtawHKC3LS9oYJ83AhnuFEtRGhUapKBl3ag7JELQ,145,,False,100,MIDDLE,14,1599,0,148232,20417,0,17428,0,1565,0,192,81,113,1,0,5986,2441,651,2,4,3,0,0,13,0,1,4,True,EUW1_7489190948,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,14042,15,804,Yunara,0,3,2,6795,12557,6795,7828,0,4,1,0,0,True,0,0,False,False,False,False,False,False,0,11665,10925,0,BOTTOM,0,1,0,1055,3085,6672,3031,3006,0,3363,19,1,5,BOTTOM,508,4,1,642,31645,7862,6797,0,12,0,0,1,0,0,1,4,0,121508,15864,13325,0,0,0,0,0,0,0,0,3898,0,3Jzg3fQL_lUoXpAGqjQqvwvqbPv_aUOAg0rlWnt1aykRz-rKbo9IReX4BTc4kr9K9R1_qK6TGcGSOw,0,0,Hitokuro,5311,CARRY,0,25,42,40,8,0,5,1,4,4,pv02GR_I3hgTmbOzbqTaSySYYAxT8zudUskP2pgpD9JPZbAl,889,,False,100,BOTTOM,11,1599,0,161137,24152,0,20377,12,5432,0,183,199,106,1,0,7982,425,254,2,6,3,0,0,8,1,1,4,True,EUW1_7489190948,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,12365,14,7,Leblanc,0,16,3,1448,8048,1448,6157,0,3,0,0,0,True,4,0,False,False,False,False,False,False,2,10780,10200,0,UTILITY,0,0,0,3871,3020,3041,6655,4645,4630,3364,20,2,9,BOTTOM,0,6,1,466,45759,23864,9936,0,0,0,0,0,0,0,22,5,0,6753,1959,9253,0,0,0,0,0,0,0,0,6298,1,dCMFnuiCuZkqfCqqzv_j9hb9zZhrCSYPJHolUgzTt28D9FwE30G_QzIqzikU2ggm36h2ORSMJgYIDA,0,16,Ringusztingusz,RL9,SUPPORT,0,68,115,39,21,0,6,14,2,4,AUwMS1rDicNYZZrCe82DUtzkuqR_C34017SvutO3f5tPuEqeVp9Z6i2Pww,557,,False,100,UTILITY,23,1599,0,55453,27763,0,19394,0,3536,0,36,37,53,1,0,2939,1939,203,1,3,3,0,0,59,0,2,30,True,EUW1_7489190948,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13740,15,54,Malphite,0,6,2,0,106,0,27633,0,3,0,0,0,True,5,4,False,False,False,False,False,False,3,8648,8350,0,TOP,0,0,1,2031,1054,6664,3047,3075,3211,3340,16,1,3,TOP,21,2,1,600,59927,10049,15102,0,0,0,1,0,0,0,3,6,0,32950,1308,5350,0,0,0,0,0,0,0,0,5367,1,cl3m9Rl4nHTjHKjP225uAgEwcIOCTPzgApYvPj6fluWGwN57n0__AUqcmdL12HMhVEO_LCl4ZOtApw,0,0,GDF spleepy,abi,SOLO,0,43,45,38,6,0,3,12,3,4,8IG7wb1lrJgDb0yT76pqxBSJdckEGdK2pQUxxidpm5dg_0A,819,,False,200,TOP,24,1599,0,103242,11357,0,21582,0,2759,0,176,445,53,1,0,10365,0,1129,0,0,10,0,0,6,0,0,3,False,EUW1_7489190948,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,10316,13,9,FiddleSticks,0,2,9,0,5464,0,13819,0,11,7,2,1,True,7,9,False,True,False,False,False,False,0,10037,9500,0,JUNGLE,0,0,1,6653,3020,2055,3118,2420,0,3330,20,2,5,JUNGLE,0,2,2,329,116927,17790,19488,1,113,0,1,0,0,0,27,7,0,4522,273,19911,0,0,0,0,0,0,0,0,5961,0,my6pa34M1n_7fhE7Om-LM3SU0kUTDZiSzao081UrabL3QfvJ-57Y1ZmUyDZstu-B-AEOTeMuAz4Cew,0,1,xAllow,ESP,NONE,0,45,123,52,7,0,10,11,5,4,EAg509b_CKeezH6usrNJQxFsPUquAc4dELrQKfmGBM21do8,1104,,False,200,JUNGLE,49,1599,98,155164,18711,0,41601,0,15209,0,29,634,338,1,0,33715,648,2201,0,0,10,0,0,40,8,3,7,False,EUW1_7489190948,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,12998,14,238,Zed,0,3,0,0,2791,0,12631,0,8,0,0,0,True,10,21,False,False,False,False,False,False,0,9829,9450,0,MIDDLE,0,0,1,6692,2031,3814,3158,3035,3133,3340,22,1,5,MIDDLE,0,2,1,312,8281,751,10148,1,4,0,1,0,0,0,14,8,0,108369,14150,11312,0,0,0,0,0,0,0,0,6014,0,s_p-cnogY4XVtBgsA5KCGzI0dyyDTNXVVY_ccXHVKRQ37-wXPfAdIvcjF1be76ojFWSwRsGoSn0Xtw,0,1,TTV Reonarudo,SENTO,SOLO,0,92,102,95,10,0,4,4,6,14,rx5Ay0eCyg1SLqdOdvzvyOzXI2vyo6lq2XQKSxcjWbB1MBrXCj7bkvDiSg,270,,False,200,MIDDLE,6,1599,4,119188,16640,0,22998,0,2109,0,173,139,187,1,0,2537,1739,1537,0,0,10,0,0,15,0,0,11,False,EUW1_7489190948,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,12892,14,895,Nilah,0,2,1,8973,10195,8973,16659,0,9,0,0,0,True,15,0,False,False,False,False,False,False,0,13431,12850,0,BOTTOM,0,0,1,1054,3031,3047,6676,3155,3036,3363,17,2,8,BOTTOM,596,2,1,340,327,98,16933,0,0,0,1,0,0,0,24,9,0,130481,20834,11282,0,0,0,0,0,0,0,0,718,0,Ae5Spmh_4-uh_BuTCgowxkYAxYij-CuHpogrPq-dnC9Vyl_cpJYMKHrZwnKbOQ433fHrAJZcPDkWMA,0,8,MBRAPI,EUW,CARRY,0,91,14,35,8,0,3,1,4,4,fepB5tG3f11CFElQ6m4t8NOlPZusDEP6bbWoyUCu195UjQc,1382,,False,200,BOTTOM,7,1599,0,131854,21186,270,29495,0,5486,561,191,100,288,4,0,1045,254,1279,3,3,10,0,0,6,0,0,5,False,EUW1_7489190948,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9529,12,37,Sona,0,2,5,276,670,276,8757,0,11,2,0,0,True,0,0,True,False,False,False,False,False,0,7284,6625,0,UTILITY,0,0,1,3869,3158,6620,3504,3114,2055,3364,20,0,1,BOTTOM,0,0,1,247,17918,10539,14393,0,0,0,1,0,0,0,1,10,0,3322,1589,9703,0,0,0,0,0,0,0,0,1150,0,uiO3nFXCIBmrdndF9bD9BwAZ7AJKFfjCeZocxDukBPHhtDi1l7ZRf5gCzEbepa-nbBH3OqmvQsnrKw,0,0,Wotkorgar,5438,SUPPORT,0,53,56,43,8,0,5,7,4,4,n1OudE_wWnRX89lhif_3SpfJ82ju5X0RF7rPpy48md7LOeNPNxMx00xnYg,56,,False,200,UTILITY,17,1599,0,22832,12129,3435,24834,0,7670,4060,22,39,265,5,0,1591,0,737,0,1,10,0,0,31,3,0,13,False,EUW1_7489190948,0,0,0,0,0,0,0,0,0,0,0,0,
